,run,score,min-match,min-align,gap,ngrams,ngram-type
436,6_60_100_20_float,4920,6,60,100,20,float
330,6_60_100_20_nonfl,1210,6,60,100,20,nonfl
202,6_60_100_28_float,250,6,60,100,28,float
238,6_60_100_28_nonfl,380,6,60,100,28,nonfl
256,6_60_100_36_float,510,6,60,100,36,float
275,6_60_100_36_nonfl,590,6,60,100,36,nonfl
691,6_60_300_12_float,42530,6,60,300,12,float
555,6_60_300_12_nonfl,13985,6,60,300,12,nonfl
411,6_60_300_20_float,3590,6,60,300,20,float
166,6_60_300_20_nonfl,160,6,60,300,20,nonfl
38,6_60_300_28_float,20,6,60,300,28,float
165,6_60_300_28_nonfl,160,6,60,300,28,nonfl
172,6_60_300_36_float,170,6,60,300,36,float
213,6_60_300_36_nonfl,280,6,60,300,36,nonfl
740,6_60_500_12_float,60390,6,60,500,12,float
571,6_60_500_12_nonfl,15525,6,60,500,12,nonfl
423,6_60_500_20_float,4000,6,60,500,20,float
31,6_60_500_20_nonfl,20,6,60,500,20,nonfl
32,6_60_500_28_float,20,6,60,500,28,float
150,6_60_500_28_nonfl,150,6,60,500,28,nonfl
133,6_60_500_36_float,120,6,60,500,36,float
237,6_60_500_36_nonfl,380,6,60,500,36,nonfl
756,6_60_700_12_float,74545,6,60,700,12,float
583,6_60_700_12_nonfl,16645,6,60,700,12,nonfl
430,6_60_700_20_float,4500,6,60,700,20,float
10,6_60_700_20_nonfl,0,6,60,700,20,nonfl
18,6_60_700_28_float,10,6,60,700,28,float
140,6_60_700_28_nonfl,140,6,60,700,28,nonfl
129,6_60_700_36_float,120,6,60,700,36,float
279,6_60_700_36_nonfl,620,6,60,700,36,nonfl
592,6_70_100_12_float,18010,6,70,100,12,float
499,6_70_100_12_nonfl,8685,6,70,100,12,nonfl
337,6_70_100_20_float,1340,6,70,100,20,float
282,6_70_100_20_nonfl,650,6,70,100,20,nonfl
84,6_70_100_28_float,80,6,70,100,28,float
251,6_70_100_28_nonfl,470,6,70,100,28,nonfl
288,6_70_100_36_float,670,6,70,100,36,float
311,6_70_100_36_nonfl,870,6,70,100,36,nonfl
671,6_70_300_12_float,35815,6,70,300,12,float
525,6_70_300_12_nonfl,10590,6,70,300,12,nonfl
273,6_70_300_20_float,570,6,70,300,20,float
0,6_70_300_20_nonfl,0,6,70,300,20,nonfl
64,6_70_300_28_float,50,6,70,300,28,float
182,6_70_300_28_nonfl,190,6,70,300,28,nonfl
